dam_id,dam_name,c,b,source,capacity_mcm,r_squared
id_090037,Al-Adirah,0.0225256685790282,1.3137465223947618,srtm_direct,0.55087,0.9989885165921716
id_100004,Shawaq,1.4817597013226804e-05,1.9938583293629388,srtm_direct,0.8,0.9936634553150239
id_100005,Aynawanah,0.006333266843632225,1.505031450802794,srtm_direct,0.7,0.9904400715230646
id_100006,Damah,0.0004295147496411835,1.7492195532803039,srtm_direct,0.934972,0.9965025630651234
id_100007,Sharamah,0.11203678673902304,1.2632351003544589,srtm_direct,1.0,0.9968726065380799
id_100009,Al-Nabi',8.07604150691815e-06,2.0,srtm_direct,1.0,0.9978051255031762
id_100010,Al-Kar,0.000248425439976585,1.7020579817763308,srtm_direct,1.003409,0.9982700473379261
id_100011,'Afal,0.007291285041071019,1.500149568750331,srtm_direct,2.0,0.9957246159222054
id_100012,Shaghab,7.615205590684985e-06,2.0,srtm_direct,1.743381,0.9917074362383234
id_100014,Al-Fari'ah,0.1101818536812327,1.2301177654446545,srtm_direct,4.643,0.9997057778560617
id_100015,Wadi Al-Najad,1.1444526272005957e-05,1.981233671672849,srtm_direct,1.047775,0.995611622764686
id_100019,Damh,0.09099981590337908,1.281044588947282,srtm_direct,2.5,0.9981269110450046
id_110000,Al-Ma'tadal (Al-Tamariyah),0.030770151531013208,1.3058273238307814,srtm_direct,0.574,0.9983140947489755
id_110002,Al-Ay'ali,0.005928404506237077,1.425809838510327,srtm_direct,1.2,0.9990674033701419
id_110006,Bair,0.02077365852530243,1.3397465586228874,srtm_direct,1.25,0.9923628749920674
id_110007,Hasidah Al-Gharbiyah,2.8316246169219052e-06,2.0,srtm_direct,1.3,0.9974910514172359
id_110009,Hasidah Al-Sharqiyah,0.0040006163332692215,1.4534809181476356,srtm_direct,2.6,0.9996170002645091
id_110010,Al-Marir,0.0001385722419921499,1.7782999186861708,srtm_direct,1.194257,0.993728461684306
id_120000,Baish,0.06063296423361728,1.3512674966062956,baish_sonar,193.644,0.9995744336487952
id_120002,Jazan,4.6864128565128227e-05,1.7110082000084217,srtm_direct,54.2,0.9971618702166726
