dam_id,dam_name,capacity_mcm,c,b,source
id_020060,Thariban,0.701658,7.084106839377878e-05,2.0,srtm_derived
id_020061,Wabah,0.703953,0.07321932203038292,1.3411904671068118,srtm_derived
id_020062,Shawqab,0.345489,0.00010978216962557368,2.0,srtm_derived
id_020063,Qarn,0.709801,0.00821303376049828,1.5558517322403753,regi_multi
id_020064,Al-Janah,0.905161,0.0037331108130732988,1.6049166407264788,srtm_derived
id_020065,Al-Mahanad,2.268859,0.02935529290387181,1.326877824528797,srtm_derived
id_020066,Hawajiz Al-Dab'ah,0.04,0.007466893399956616,1.5558517322403753,regi_multi
id_020067,Amat,0.5,0.012490891735739095,1.4664900959375853,srtm_derived
id_020068,Al-Makhadah,0.57345,3.739029729522446e-05,1.922064565540581,srtm_derived
id_020069,Al-Dhiyah,0.57755,0.006011572561104398,1.5170691239325564,srtm_derived
id_020070,Al-Laqitah,0.6,0.000635911803441879,1.7079675454729695,srtm_derived
id_020071,Kalakh,2.3,0.0006956407104336325,1.6085317466531859,srtm_derived
id_020072,Liyah,10.0,0.0037267134243260157,1.5558517322403753,regi_multi
id_020073,Sisad,0.5,0.028720220946378525,1.3970856388547552,srtm_derived
id_020074,Aqawam Rabigh,0.5,0.000763590803286615,1.5558517322403753,regi_multi
id_020075,Al-Ghalah,4.4,0.008822864758577798,1.4596283543521749,srtm_derived
id_020076,Al-Shaqqah,5.66,0.07215888114036581,1.3372022299624218,srtm_derived
id_020077,Buwah,6.052785,0.008914820919588737,1.541994044305505,srtm_derived
id_030000,Al-Nahitah,0.077526,0.004709279508449927,1.5331627184186036,srtm_derived
id_030001,Abu Hanak,0.08,0.0395687454562016,1.2996857923480263,srtm_derived
id_030002,Al-Wajab,0.140804,0.0014492644934652784,1.5558517322403753,regi_multi
id_030003,Abu Ghasha,0.16,0.07384865309784396,1.231904165955987,srtm_derived
id_030004,Al-Jarisiyah,0.2144,0.15784382684690126,1.1850311703453908,srtm_derived
id_030005,Shalal,0.318,0.08221063857383305,1.2693443258690082,srtm_derived
id_030006,Qaran,0.5,3.302842611661924e-05,1.9021645707464623,srtm_derived
id_030007,Al-Salahaniyah,0.5,0.08990582615001896,1.2624908184465884,srtm_derived
