dam_id,dam_name,latitude,longitude,old_csv_id,storage_capacity_m3,radius
id_100018,Dahkan,27.413889,35.760556,151_Dhahkan,1200000,1174.306682
id_110010,Al-Marir,30.049444,39.913889,153_Al-Murayr,1194257,1171.628183
id_090034,Al-Dabiyah,25.7525,40.572778,154_Al-Dabiyah,1191704,1170.435312
id_070114,Khadar Al-Haymah,18.695833,42.527222,155_Khudar_Al-Haymah,1128733,1140.577187
id_040014,Al-Fawarah,26.241667,42.470833,156_Al-Fawarah,1093000,1123.244902
id_060011,Mahitah,30.864722,41.09,157_Muhyitah,1092482,1122.99148
id_070094,Athab,18.850858,42.855842,158_Athab,1064000,1108.958959
id_070092,Amiq Bal-Lahmar,18.686,42.291486,159_Amq_Balahmar,1062000,1107.966244
id_020052,Al-Qu'ur,22.321667,40.062778,160_Al-Qa'our,1060425,1107.183791
id_100023,Tarim,27.921667,35.454444,161_Tarim,1055000,1104.484002
id_100015,Wadi Al-Najad,26.818056,37.023889,162_Wadi_Al-Najd,1047775,1100.877111
id_020005,Ghulail Al-Shamali,21.42416389,39.32467778,163_Ghaleel_Al-Shamali,1020000,1086.888368
id_120013,Wa'al,17.496944,42.746667,164_Wa'al,1016800,1085.263945
id_100010,Al-Kar,26.643056,36.955833,165_Al-Kur,1003409,1078.437009
id_010044,Al-Ghat,25.967778,45.035278,181_Al-Ghat,1000000,1076.691437
id_070073,Hajla,18.295806,42.654453,170_Hajlah,1000000,1076.691437
id_030022,Al-Aqul,24.522222,39.728056,175_Al-A'aqool,1000000,1076.691437
id_030012,Al-Ghab,24.635342,39.516197,173_Al-Ghab,1000000,1076.691437
id_030013,Al-Is,25.047778,38.098333,174_Al-Ays,1000000,1076.691437
id_010047,Al-Manhanah,25.352453,45.163333,183_Al-Munhaniya,1000000,1076.691437
id_010048,Al-Sha'arah,24.234372,44.153797,184_Al-Sha'ara',1000000,1076.691437
id_010045,Hawatah Sadir,25.590158,45.585831,182_Hawtat_Sudayr,1000000,1076.691437
id_070075,Sarabah,19.104528,42.143333,171_Sarabah,1000000,1076.691437
id_010050,Al-Ha'ir Bin Al-Majma'ah,25.786674,45.368297,185_Al-Hayir_Bi'almajmah,1000000,1076.691437
id_090027,Al-Salimah,26.30225,41.349267,166_Al-Sulaymiyyah,1000000,1076.691437
id_130009,Al-Mahjar,17.851389,43.713889,180_Al-Mahjar,1000000,1076.691437
id_070000,Ayash,19.412083,42.055667,169_Ayyash,1000000,1076.691437
id_020051,Nu'man,21.254992,40.217047,178_Na'man,1000000,1076.691437
id_100009,Al-Nabi',26.418333,37.085,168_Al-Naba',1000000,1076.691437
id_090028,Dalihan,27.278333,40.991389,5_Dulayhan,1000000,1076.691437
id_100007,Sharamah,28.083889,35.501944,167_Sharma',1000000,1076.691437
id_030011,Al-Farah,23.343056,39.662778,172_Al-Fara,1000000,1076.691437
id_030029,Dhalamah,23.698611,39.567778,176_Dhalamah,1000000,1076.691437
id_130008,Khadiran,18.000556,43.861389,179_Khadiran,1000000,1076.691437
id_020047,Shawan,22.483405,40.01693,177_Shawan,1000000,1076.691437
id_060001,Al-Hilali,30.83059,41.24486,186_Al-Hilali,991250,1072.196691
id_120011,Qurah,17.511111,42.728889,187_Qarya,985954,1069.466108
id_070088,Halba,19.246531,42.119876,188_Halbah,972976,1062.742067
id_080003,Alib,20.146111,41.065556,189_Alib,972060,1062.265707
id_010042,Al-'Afaj,23.564587,45.614631,190_Al-Afaj,963524,1057.815257
id_070001,Ara'ir,17.656353,43.462664,191_Arar,963000,1057.541385
id_100020,Dab'an,28.213611,36.626944,192_Dhab'an,957508,1054.666246
id_010092,Al-Safrat,25.275316,46.025063,193_Al-Safrat,935000,1042.791748
id_100006,Damah,27.3778,36.442937,194_Dama',934972,1042.776883
id_010041,Salabawakh,25.074095,46.336166,195_Salbukh,931200,1040.772268
id_080041,Ma'shuqah,20.363611,41.411667,196_Ma'shuqah,905700,1027.107305
id_020064,Al-Janah,19.695113,41.69139,197_Al-Janah,905161,1026.816304
id_080053,Shada Nira,19.758333,41.334444,198_Shada_Nira,884446,1015.562856
id_010040,Warat,25.511667,45.519167,199_Warat,881307,1013.845588
id_030010,Al-Shara'ih,24.410556,39.639861,200_Al-Shara'i,880000,1013.129616
id_030031,Al-Muqarran,24.99,40.545556,201_Al-Maqran,854322,998.9485849
id_030033,Ahamir,25.250678,40.421228,202_Ahamar,848721,995.8258012
id_010089,Al-Thumaylah,25.080278,46.590111,203_Al-Thumaylah,840000,990.9419163
id_010039,Al-Rayn Bin 'Asaylan,23.666615,45.375946,204_Al-Rayn_Bi'asilan,826156,983.1341914
id_010038,Al-Fahihal,25.7775,45.265833,205_Al-Fuhayhil,801985,969.3361109
id_100004,Shawaq,27.48,36.610278,206_Shawaq,800000,968.1933444
id_020050,Malkan,21.149047,40.034856,207_Malkaan,800000,968.1933444
id_070071,Sharaqib,17.881967,43.350467,208_Sharaqib,790000,962.4136068
id_090018,Samirahh,26.580278,42.181111,209_Sumayraa,787228,960.8046861
id_070100,Qurdan,17.994082,43.114552,210_Qardan,780000,956.595404
id_100016,Tala' Al-Shamali,28.262068,36.571371,211_Tala'_Al-Shamali,777008,954.8470099
id_020049,Bathan,22.3575,39.935833,212_Bat'han,773200,952.6166709
id_020048,Hajar,22.949638,39.774944,213_Hajr,762550,946.3482469
id_130015,Qatan,18.189722,44.015833,214_Qatn,758500,943.9524491
id_070113,Nabah,19.713889,41.897056,215_Nabh,750000,938.9023378
id_080042,Al-Marazawaq,19.932967,41.606883,216_Al-Marzuq,750000,938.9023378
id_070070,Afyadh Al-Talhah,17.783333,43.508056,217_Afyaadh_Al-Talhah,748000,937.709724
id_090045,Al-Sir Al-Tad'imi,27.369167,41.463611,218_Al-Sirr_Al-Tada'iyyi,746493,936.8099852
id_060000,Al-Marah,31.6375,40.146944,219_Al-Maraa,744065,935.3583685
id_010110,Wadi Asimar,20.55081,45.439544,220_Wadi_Asymar,726465,924.7608896
id_060004,Turif,31.611389,38.521111,221_Tarif,725625,924.251755
id_010088,Sh'ib Al-Isar,20.340036,45.395295,222_Sha'ib_Al-Aysar,719462,920.5067992
id_090010,Aqalat Bin Jabrin,27.076944,41.275556,223_Uqlat_Ibn_Jabrin,714614,917.549077
id_060005,Al-Awashaqi,30.900428,40.854141,224_Al-Ushuqiy,713200,916.6844288
id_040013,Uqlat Al-Suqur,25.848561,42.106525,225_Uqlat_Al-Suqur,712000,915.9499347
id_020063,Qarn,21.589811,40.400072,226_Qarn,709801,914.6022889
id_030023,Am Talhah,26.154342,38.849117,227_Um_Talha,707141,912.9691945
id_020061,Wabah,22.238312,39.849221,228_Wabh,703953,911.0076904
id_020060,Thariban,19.459628,41.84271,229_Thurayban,701658,909.5927458
id_010108,Aba Al-Lasf,23.471111,46.853333,230_Abal_Lusuf,70033,908.7728814
id_100005,Aynawanah,28.211111,35.3275,231_Einunah,700000,908.5690237
id_070112,Yafif,19.740833,41.925694,232_Yafif,690000,902.3674606
id_010035,Khanqat 'Arwah,23.968821,44.909614,233_Khanqah_Arwah,680143,896.2083167
id_010034,Al-Khaniqiyah,24.273056,45.059444,234_Al-Khaniqiyah,678200,894.9887266
id_090026,Watadah,26.271415,42.086535,235_Watdah,649943,877.0409831
id_070118,AL-Thafn,19.245205,43.137778,236_Al-Thafn,639068,870.0248658
id_090024,Al-Sab'an,26.995,41.943333,237_Al-Sab'aan,630351,864.3557062
id_060002,Al-Lawiziyah,31.086944,41.026389,238_Al-Luwaiyiziyah,623246,859.7044624
id_020045,Al-Sab'an,22.382778,39.956944,239_Al-Sab'aan,620000,857.5702436
id_020046,Thumalah,21.119969,40.505053,240_Thamalah,608000,849.6290689
id_010033,Al-Artawiyah,26.455253,45.299936,241_Al-Artawiyah,607143,849.0588074
id_010090,Al-Barah,24.94801,45.897367,247_Al-Burah,600000,844.2892396
id_130017,Al-Khadarah,17.894749,43.69264,246_Al-Khadarah,600000,844.2892396
id_080040,Al-Mashiraf,20.234722,41.672778,249_Al-Mushirif,600000,844.2892396
id_070069,Jariyah Al-Majardah,19.194981,41.922949,7_Jariyat_Al-Majardah,600000,844.2892396
id_090025,Saqf,26.960556,41.084167,243_Saqqaf,600000,844.2892396
id_100013,Al-Balitih,27.211776,36.861579,244_Al-Bulaytih,600000,844.2892396
id_110005,Al-Nakhalah,31.215833,37.371111,242_Um_Nakhlah,600000,844.2892396
id_020070,Al-Laqitah,21.479624,39.858544,245_Al-Laqitah,600000,844.2892396
id_080013,Batat Al-Jawfi,19.7175,41.501944,248_Batah_Al-Joufi,600000,844.2892396
id_010102,Al-Kalbi,25.946111,45.253889,250_Al-Kilabi,595591,841.3303721
id_070111,Awis,19.319167,42.121389,251_Aws,593000,839.5862029
id_130016,(Surum) Halal,17.64983,43.866401,252_Sarw_Halal,585630,834.6030309
id_130025,Al-Haj,17.570556,44.1875,253_Al-Haj,578000,829.409318
id_020069,Al-Dhiyah,21.241667,40.345833,254_Al-Dhahiya,577550,829.101886
id_010037,Al-Jufir,23.985878,46.247886,255_Al-Jafeer,575625,827.7853409
id_110000,Al-Ma'tadal (Al-Tamariyah),30.519167,40.3425,256_Al-Mu'tadil_(Al-Tamriyat),574000,826.6721748
id_020068,Al-Makhadah,21.166798,40.327055,257_Al-Mukhadhah,573450,826.295037
id_010103,Khaim,22.753504,44.918774,258_Khaym,569546,823.6125786
id_090037,Al-Adirah,27.366389,41.585,259_Al-Adir'i,550870,810.6448742
id_040011,Nasifat Aban Al-Ahmar,25.4379,42.713556,260_Nasifah_Aban_Al-Ahmar,548000,808.6317788
id_040009,Abu Jurayfah,26.194917,42.728295,261_Abu_Jurayfah,538464,801.9029948
id_130018,Na'wan,18.222778,44.329722,262_Na'wan,532000,797.3063005
id_080055,Al-Hamirah (Al-Salasil),19.647222,41.231111,263_Al-Humayra'_(Al-Salasil),531187,796.7260908
id_020044,Al-Ayab,22.464327,40.04881,264_Al-Ayab,527110,793.8094353
id_010032,Anan,23.83274,45.203051,265_Anan,526615,793.4545123
id_070105,Kutam,17.586455,43.542573,266_Kitam,519500,788.3334992
id_020043,Dharah,20.8425,40.856667,267_Dharaa,509910,781.3726017
id_020042,Ikrimah,21.243556,40.358456,279_Akramah,500000,774.1069759
id_030010,Al-Shara'ih,24.411667,39.636667,277_Bat'han,500000,774.1069759
id_030006,Qaran,23.273889,40.331111,8_Qaran,500000,774.1069759
id_020040,Sa'b,21.238794,40.383617,278_Sa'ab,500000,774.1069759
id_090022,Al-Bar,27.387,41.500314,268_Al-Baar,500000,774.1069759
id_070064,Al-Hufah,18.536497,42.394469,271_Al-Hafah,500000,774.1069759
id_080039,Al-Sadr,20.127,41.3579,286_Al-Sadr,500000,774.1069759
id_010051,Al-Hariq Bin Al-Washam,25.478943,45.378394,285_Al-Hariq_Bi'lwashm,500000,774.1069759
id_070065,Ar-Rashid,18.25985,43.2309,272_Al-Rasheed,500000,774.1069759
id_070110,Al-Jawah,17.914444,43.248889,275_Al-Jawh,500000,774.1069759
id_020073,Sisad,21.293586,40.494242,281_Saysad,500000,774.1069759
id_020074,Aqawam Rabigh,22.808722,39.023682,282_Aqoom_Rabgh,500000,774.1069759
id_030007,Al-Salahaniyah,22.863333,40.4595,276_Al-Salhaniyah,500000,774.1069759
id_130024,Hadadah,17.596111,43.731389,284_Haddadah,500000,774.1069759
id_040010,Al-Rubiq,25.420556,43.847778,270_Al-Rubaiq,500000,774.1069759
id_020067,Amat,21.157245,40.350458,280_A'mat,500000,774.1069759
id_070066,Al Thabit (Al-Khir),17.758889,43.470278,273_Al-Thabit_(Al-Khayr),500000,774.1069759
id_100003,Al-Zarib,26.284722,36.584167,269_Al-Zarib,500000,774.1069759
id_130004,Al-Salamah,17.984722,43.8675,283_Al-Salamah,500000,774.1069759
id_070068,Jabal Khat,19.088889,42.046944,274_Jabal_Khat,500000,774.1069759
id_020038,Al-Bajidi,21.513889,40.138889,287_Al-Bujaidi,499636,773.8386749
id_090007,Al-Jahifah,27.106944,42.168333,288_Al-Jahfah,493200,769.0777364
id_130013,Humayran,18.013889,43.858056,289_Hamiran,491830,768.0601036
id_070032,Jash (Al-Riyadh),19.321944,43.3875,290_Jash_(Al-Riyadh),486000,763.7128944
id_070063,Al-'Adiyah,17.958567,43.264369,291_Al-Adiyah,480000,759.2102941
id_010101,Raghbah,25.113056,45.815556,292_Raghbah,474153,754.7940472
id_010031,Tamrah,20.344295,45.373186,293_Tamrah,473520,754.3142335
id_130021,Al-Malihah,17.945123,43.780487,294_Al-Maliha,471000,752.4007345
id_100017,Salim Al-Awasat,28.242222,36.598333,295_Salm_Al-Awsat,458187,742.5874654
id_070090,Turayf,19.355278,42.090833,296_Turaif,455300,740.35658
id_010028,Haradah,22.792778,46.199167,297_Haradhah,447800,734.5261901
id_070093,Khurs,18.907222,42.319444,298_Kharas,446675,733.6472308
id_090021,Al-Shinan,27.147317,42.344858,299_Al-Shanan,446568,733.5635716
id_010027,Al-Bair,25.269934,45.970554,300_Al-Bayr,441906,729.9082806
id_010026,Al-Raziwah,22.586019,44.953615,301_Al-Raziwiyah,441675,729.7266384
id_030028,Ajathaliyah,25.164167,40.329722,302_Ajthaliyah,440769,729.0137425
id_130023,Al-Athibah,17.626417,44.205858,303_Al-Athaibah,437350,726.3165252
id_010087,Al-Haysiyah,24.917222,46.180833,304_Al-Haysiyah,436460,725.6126016
id_070079,Al-Musayriq,19.049444,42.908611,305_Al-Masirah,433000,722.8688288
id_030009,Nakhala,26.543611,38.331389,306_Nakhla,428903,719.6050178
id_010109,Al-Shu'bah,25.152694,46.083056,307_Al-Shu'bah,425000,716.4805244
id_100002,Abu Al-Qazaz,26.784167,36.7675,308_Abu_Al-Qazaz,423879,715.5803463
id_100021,Tila' Al-Janawabi,28.18582,36.651087,309_Tala'_Al-Janubi,422481,714.4559837
id_070081,Maskah,20.024502,42.185128,310_Maskah,411226,705.3320333
id_010024,Marat,25.049528,45.467333,315_Marat,400000,696.1002904
id_010025,Sudus,25.005833,46.1475,316_Sudus,400000,696.1002904
id_010084,Al-Halifah,25.128333,45.386944,317_Al-Halifah,400000,696.1002904
id_070089,Al-Mawin,18.650156,42.397278,312_Al-Maween,400000,696.1002904
id_080038,Al-Muzlimat,20.17395,41.316917,318_Al-Muzlamat,400000,696.1002904
id_010099,Jawi,18.212241,43.168404,311_Jouf_Al-Ma'mar,400000,696.1002904
id_030038,Al-Hasid,25.551061,39.385829,314_Al-Hasid,400000,696.1002904
id_070121,Wasat Marama,18.263611,43.601389,313_Wasat_Marmi,400000,696.1002904
id_010059,Al-Muzayri'ah,24.781583,46.336556,320_Al-Muzayri'iyah,390000,687.7617393
id_070061,Surum,19.140111,42.192611,319_Sarum,390000,687.7617393
id_030027,Al-Sadr,26.593413,37.901969,321_Al-Sadr,373593,673.834208
id_020039,Qurad,22.421256,40.492924,322_Qaradh,370000,670.7416575
id_130019,Al-Safah,18.313056,43.853056,323_Al-Safah,366300,667.5405194
id_090020,Al-Hawidah,27.072567,41.3408,324_Al-Huwaydi,360000,662.0507005
