dam_id,dam_name,dam_name_arabic,latitude,longitude,region,governorate,watershed_basin,watershed_basin_2,dam_type,status,primary_purpose,current_purpose,dam_length_m,dam_height_m,spillway_height_m,storage_capacity_m3,construction_year
id_090045,Al-Sir Al-Tad'imi,الصر التدعيمي,27.369167,41.463611,Hail,Hail,Wadi Arar Basin,,earthfill,completed,recharge,recharge,605.0,7.0,4.5,746493,2013
id_100000,Al-Kharar,الخرار,26.2025,37.376667,Tabuk,Al-Wajh,Wadi Al-Hamad Basin,,earthfill,completed,recharge,protection,367.0,10.0,6.0,167550,2008
id_100001,Rahib,رحيب,27.475556,36.798333,Tabuk,Tabuk,Wadi Al-Akhdar Basin,,earthfill,completed,recharge,recharge,230.0,8.5,5.5,102263,2009
id_100002,Abu Al-Qazaz,ابو القزاز,26.784167,36.7675,Tabuk,Al-Wajh,Wadi Al-Hamad Basin,,earthfill,completed,recharge,recharge,360.0,7.0,4.0,423879,2009
id_100003,Al-Zarib,الزريب,26.284722,36.584167,Tabuk,Al-Wajh,A,,earthfill,completed,recharge,recharge,200.0,7.0,4.0,500000,2008
id_100004,Shawaq,شواق,27.48,36.610278,Tabuk,Duba,Wadi Al-Akhdar Basin,,earthfill,completed,recharge,recharge,600.0,7.0,4.0,800000,2006
id_100005,Aynawanah,عينونه,28.211111,35.3275,Tabuk,Duba,A,,earthfill,completed,recharge,protection,168.0,7.5,5.0,700000,2008
id_100006,Damah,داماء,27.3778,36.442937,Tabuk,Duba,Wadi Al-Akhdar Basin,,concrete,completed,recharge,recharge,356.0,11.0,8.5,934972,2013
id_100007,Sharamah,شرماء,28.083889,35.501944,Tabuk,Duba,A,,earthfill,completed,recharge,protection,1000.0,8.0,5.0,1000000,2008
id_100008,Samin,سمين,25.112778,37.419167,Tabuk,Umluj,B,,earthfill,completed,recharge,recharge,278.0,6.0,3.0,177000,2007
id_100009,Al-Nabi',النابع,26.418333,37.085,Tabuk,Al-Wajh,Wadi Al-Hamad Basin,,concrete,completed,recharge,recharge,165.0,15.0,12.0,1000000,2008
id_100010,Al-Kar,الكر,26.643056,36.955833,Tabuk,Al-Wajh,Wadi Al-Hamad Basin,,earthfill,completed,recharge,recharge,395.0,10.8,8.0,1003409,2013
id_100011,'Afal,عفال,28.941389,35.18,Tabuk,Haql,A,,earthfill,completed,recharge,protection,395.0,12.0,7.0,2000000,2007
id_100012,Shaghab,شغب,27.293333,36.4975,Tabuk,Duba,A,,earthfill,completed,recharge,recharge,561.0,10.5,7.5,1743381,2013
id_100013,Al-Balitih,البليطيح,27.211776,36.861579,Tabuk,Al-Wajh,Wadi Al-Akhdar Basin,,concrete,completed,recharge,recharge,175.0,13.0,10.0,600000,2010
id_100014,Al-Fari'ah,الفارعة,27.178889,37.035,Tabuk,Al-Wajh,Wadi Al-Akhdar Basin,,earthfill,completed,recharge,protection,1200.0,12.5,9.5,4643000,2009
id_100015,Wadi Al-Najad,وادي النجد,26.818056,37.023889,Tabuk,Al-Wajh,Wadi Al-Hamad Basin,,earthfill,completed,recharge,recharge,1033.0,10.0,7.0,1047775,2013
id_100016,Tala' Al-Shamali,تلاع الشمالي,28.262068,36.571371,Tabuk,Tabuk,Wadi Al-Akhdar Basin,,earthfill,completed,recharge,protection,611.5,7.0,4.5,777008,2019
id_100017,Salim Al-Awasat,سالم الاوسط,28.242222,36.598333,Tabuk,Tabuk,Wadi Al-Akhdar Basin,,earthfill,completed,recharge,protection,617.0,6.5,4.0,458187,2018
id_100018,Dahkan,ضحكان,27.413889,35.760556,Tabuk,Duba,A,,concrete,completed,recharge,protection,255.0,18.0,15.0,1200000,2012
id_100019,Damh,ضم,28.568056,36.000556,Tabuk,Tabuk,Wadi Al-Akhdar Basin,,earthfill,completed,recharge,protection,465.0,10.0,7.0,2500000,2012
id_100020,Dab'an,ضبعان,28.213611,36.626944,Tabuk,Tabuk,Wadi Al-Akhdar Basin,,earthfill,completed,recharge,protection,518.0,7.0,4.5,957508,2019
id_100021,Tila' Al-Janawabi,تلاع الجنوبي,28.18582,36.651087,Tabuk,Tabuk,Wadi Al-Akhdar Basin,,earthfill,under_construction,recharge,protection,482.0,6.0,0.0,422481,
id_100022,Al-Baqar,البقار,28.079444,36.510833,Tabuk,Tabuk,Wadi Al-Akhdar Basin,,earthfill,under_construction,recharge,protection,286.0,15.0,12.0,1800000,
id_100024,Na'am,نعام,28.132222,36.688889,Tabuk,Tabuk,Wadi Al-Akhdar Basin,,earthfill,under_construction,recharge,protection,510.0,10.0,9.5,1500000,
id_100025,Al-Mawilah (Al-Sir),المويلح (الصر),27.676944,35.566389,Tabuk,Duba,A,,concrete,under_construction,recharge,recharge,168.5,15.0,11.0,1593000,
id_110000,Al-Ma'tadal (Al-Tamariyah),المعتدل (التمريات),30.519167,40.3425,Al-Jawf,Sakaka,Wadi Arar Basin,,earthfill,completed,recharge,protection,510.0,4.5,3.0,574000,2009
id_110002,Al-Ay'ali,الاعيلي,30.592668,38.633672,Al-Jawf,Tabarjal,Wadi Al-Sirhan Basin,,earthfill,completed,recharge,protection,425.0,6.5,5.0,1200000,2009
id_110004,Al-Shawihitiyah,الشويحيطية,30.325442,40.187523,Al-Jawf,Sakaka,Wadi Arar Basin,,earthfill,completed,recharge,protection,310.0,5.5,3.0,2300000,2009
